Habitat + VLM 导航报告 (v2)
场景: castle (/home/nuaawzh/VLM/data/versioned_data/habitat_test_scenes/skokloster-castle.glb)
模型: Qwen2-VL-2B (4-bit)
任务: 找到城堡的大门
最大步数: 50
实际步数: 51
VLM 提前stop: 否
--------------------------------------------------
Step   动作               位置X        位置Z       
------------------------------------------
0      turn_right       -1.37      8.61      
1      move_forward     -1.37      8.61      
2      move_forward     -2.13      7.61      
3      move_forward     -2.89      6.62      
4      move_forward     -2.89      6.62      
5      move_forward     -3.80      6.01      
6      move_forward     -4.76      5.37      
7      turn_left        -4.76      5.37      
8      turn_left        -4.76      5.37      
9      move_forward     -4.76      5.37      
10     turn_left        -5.26      4.90      
11     turn_left        -5.26      4.90      
12     move_forward     -5.26      4.90      
13     move_forward     -5.30      4.75      
14     move_forward     -6.51      4.69      
15     turn_left        -6.51      4.69      
16     move_forward     -6.51      4.69      
17     move_forward     -7.23      5.31      
18     turn_left        -7.87      5.58      
19     turn_left        -7.87      5.58      
20     move_forward     -7.87      5.58      
21     move_forward     -7.81      5.67      
22     turn_left        -7.81      5.67      
23     turn_left        -7.81      5.67      
24     move_forward     -7.81      5.67      
25     move_forward     -7.81      5.67      
26     turn_left        -7.81      5.67      
27     turn_left        -7.81      5.67      
28     move_forward     -7.81      5.67      
29     move_forward     -7.81      5.67      
30     turn_left        -7.81      5.67      
31     turn_left        -7.81      5.67      
32     move_forward     -7.81      5.67      
33     move_forward     -7.63      5.65      
34     turn_left        -7.45      5.62      
35     turn_left        -7.45      5.62      
36     move_forward     -7.45      5.62      
37     move_forward     -6.86      5.52      
38     turn_left        -6.10      6.52      
39     turn_left        -6.10      6.52      
40     move_forward     -6.10      6.52      
41     move_forward     -5.05      7.19      
42     turn_left        -4.00      7.87      
43     turn_left        -4.00      7.87      
44     move_forward     -4.00      7.87      
45     move_forward     -2.78      8.14      
46     turn_left        -1.56      8.41      
47     turn_left        -1.56      8.41      
48     move_forward     -1.56      8.41      
49     move_forward     -0.32      8.25      
50     stop             0.92       8.09      
